"filename", "language", "Python", "comment", "blank", "total"
"d:\ArrangeYourTravel\server\__init__.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\album\__init__.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\album\apps.py", "Python", 4, 0, 2, 6
"d:\ArrangeYourTravel\server\album\forms.py", "Python", 6, 0, 2, 8
"d:\ArrangeYourTravel\server\album\models.py", "Python", 8, 0, 3, 11
"d:\ArrangeYourTravel\server\album\urls.py", "Python", 8, 0, 1, 9
"d:\ArrangeYourTravel\server\album\views.py", "Python", 59, 0, 8, 67
"d:\ArrangeYourTravel\server\entry\__init__.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\entry\apps.py", "Python", 4, 0, 2, 6
"d:\ArrangeYourTravel\server\entry\forms.py", "Python", 6, 0, 2, 8
"d:\ArrangeYourTravel\server\entry\models.py", "Python", 8, 0, 2, 10
"d:\ArrangeYourTravel\server\entry\urls.py", "Python", 8, 0, 1, 9
"d:\ArrangeYourTravel\server\entry\views.py", "Python", 82, 0, 14, 96
"d:\ArrangeYourTravel\server\manage.py", "Python", 17, 1, 5, 23
"d:\ArrangeYourTravel\server\moment\__init__.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\moment\apps.py", "Python", 4, 0, 1, 5
"d:\ArrangeYourTravel\server\moment\forms.py", "Python", 15, 0, 4, 19
"d:\ArrangeYourTravel\server\moment\models.py", "Python", 25, 0, 6, 31
"d:\ArrangeYourTravel\server\moment\urls.py", "Python", 10, 0, 2, 12
"d:\ArrangeYourTravel\server\moment\views.py", "Python", 85, 1, 10, 96
"d:\ArrangeYourTravel\server\person\__init__.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\person\admin.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\person\apps.py", "Python", 4, 0, 2, 6
"d:\ArrangeYourTravel\server\person\forms.py", "Python", 27, 0, 7, 34
"d:\ArrangeYourTravel\server\person\models.py", "Python", 39, 1, 3, 43
"d:\ArrangeYourTravel\server\person\urls.py", "Python", 10, 0, 2, 12
"d:\ArrangeYourTravel\server\person\utils.py", "Python", 18, 0, 6, 24
"d:\ArrangeYourTravel\server\person\views.py", "Python", 59, 0, 9, 68
"d:\ArrangeYourTravel\server\picture\__init__.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\picture\apps.py", "Python", 5, 0, 2, 7
"d:\ArrangeYourTravel\server\picture\forms.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\picture\models.py", "Python", 22, 0, 7, 29
"d:\ArrangeYourTravel\server\picture\urls.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\picture\views.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\settings.py", "Python", 21, 0, 5, 26
"d:\ArrangeYourTravel\server\trip\__init__.py", "Python", 0, 0, 1, 1
"d:\ArrangeYourTravel\server\trip\apps.py", "Python", 4, 0, 2, 6
"d:\ArrangeYourTravel\server\trip\forms.py", "Python", 10, 0, 5, 15
"d:\ArrangeYourTravel\server\trip\models.py", "Python", 16, 0, 4, 20
"d:\ArrangeYourTravel\server\trip\urls.py", "Python", 10, 0, 1, 11
"d:\ArrangeYourTravel\server\trip\views.py", "Python", 125, 1, 22, 148
"Total", "-", 719, 4, 153, 876